Artist,Album,Song,Year,Lyrics
The National,Sleep Well Beast,Dark Side Of The Gym,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
The first time I saw you, you were walking out<br/>
I wanted to ask if you could stay<br/>
But you were on something with your friends around<br/>
There was nothing I could say<br/>
<br/>
[Chorus]<br/>
But I'm gonna keep you in love with me for a while<br/>
I'm gonna keep you in love with me<br/>
<br/>
[Verse 2]<br/>
The next time I saw you, you were breaking down<br/>
A million years had gone away<br/>
You looked right at me, and I just turned around<br/>
There was still nothing I could say<br/>
<br/>
[Chorus]<br/>
But I'm gonna keep you in love with me for a while<br/>
I'm gonna keep you in love with me<br/>
I'm gonna keep you in love with me for a while<br/>
I'm gonna keep you in love with me<br/>
<br/>
[Bridge]<br/>
I have dreams of anonymous castrati<br/>
Singing to us from the trees<br/>
I have dreams of the first man and first lady<br/>
Singing to us from the sea<br/>
<br/>
[Chorus]<br/>
So I'm gonna keep you in love with me for a while<br/>
I'm gonna keep you in love with me<br/>
I'm gonna keep you in love with me for a while<br/>
I'm gonna keep you in love with me<br/>
<br/>
[Bridge]<br/>
I have dreams of anonymous castrati<br/>
Singing to us from the trees<br/>
I have dreams of the first man and first lady<br/>
Singing to us from the sea</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Sleep Well Beast,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
We've been stuck out here in the hallway for way way too long<br/>
I'm at a loss, I'm at a loss, I'm losing grip, the fabric's ripped<br/>
Go back to sleep, let me drive, let me think, let me figure it out<br/>
How to get us back to the place where we were when we first went out<br/>
<br/>
[Chorus]<br/>
I'll tell you about it some time, the time we left<br/>
I'll tell you about it some time, the time we left<br/>
<br/>
[Verse 2]<br/>
Losing parents, losing sense<br/>
I don't know what we should do<br/>
Became a father when I was still a son, she brings it out in you<br/>
See you at the end of the party with your wild white eyes<br/>
Filling up the teacup with gin in your secret postcard life<br/>
<br/>
[Chorus]<br/>
I'll tell you about it some time, the time we left<br/>
I'll tell you about it some time, the time we left<br/>
I'll tell you about it some time, the time we left<br/>
I'll tell you about it some time, the time we left<br/>
<br/>
[Instrumental]<br/>
<br/>
[Verse 3]<br/>
We leave our saviors wrapped around the necks of new machines<br/>
Or at the ends of threads that hold their bodies to the ground<br/>
And then the men who look a little like they feel like me<br/>
Offered them some bottled water, then they cut them down<br/>
I came back to see if you were here, but everything was different<br/>
Your voice was low, you blended in, I could barely hear you speak<br/>
You were always my last second bright spot in the distance<br/>
Thought that you were something good<br/>
That I would always keep<br/>
<br/>
I'll still destroy you someday, sleep well, beast; you as well, beast<br/>
I'll still destroy you someday, sleep well, beast; you as well, beast<br/>
I'll still destroy you someday, sleep well, beast; you as well, beast<br/>
I'll still destroy you someday, sleep well, beast; you as well, beast</p>
<!--/sse-->
</div>"
The National,Live,Guilty Party,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
You're sleeping night and day<br/>
How'd you do it<br/>
Me I am wide awake<br/>
Feeling defeated<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I know it's not working<br/>
I'm no holiday<br/>
It's nobody's fault<br/>
No guilty party<br/>
We just got nothing<br/>
Nothing left to say<br/>
<br/>
[Verse 2]<br/>
Another year gets away<br/>
Another summer of love<br/>
I don't know why I care<br/>
We miss it every summer<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I'm the one doing this<br/>
There's no other way<br/>
It's nobody's fault<br/>
No guilty party<br/>
I just got nothing<br/>
Nothing left to say<br/>
<br/>
It all, all catches up to me<br/>
It all, all catches up to me<br/>
All the time<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I know it's not working<br/>
I'm no holiday<br/>
It's nobody's fault<br/>
No guilty party<br/>
We just got nothing<br/>
Nothing left to say<br/>
<br/>
I say your name<br/>
I say I'm sorry<br/>
I'm the one doing this<br/>
There's no other way<br/>
It's nobody's fault<br/>
No guilty party<br/>
I just got nothing<br/>
Nothing left to say<br/>
<br/>
It all, all just catches up to me<br/>
It all, all catches up to me<br/>
All the time</p>
<!--/sse-->
</div>"
The National,Live,Turtleneck,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Oh my Mother, let your daughter dance with me<br/>
I'd like to spin her wild around the cottonwood tree<br/>
There's something about her eyes, I think her roots are rotten<br/>
This must be the reason she wears her hair up in knots, oh no<br/>
<br/>
[Pre-Chorus]<br/>
This is so embarrassing<br/>
Ah, we're pissing fits<br/>
Crying on our doorsteps in t-shirts loose and ripped<br/>
Some of them so out of style I cannot save them<br/>
They'll just get whatever my salvation gave them<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck<br/>
<br/>
[Verse 2]<br/>
The poor, they leave their cellphones in the bathrooms of the rich<br/>
And when they try to turn them off everything they switch to<br/>
Is just another man, in shitty suits, everybody's cheering for<br/>
This must be the genius we've been waiting years for, oh no<br/>
<br/>
[Pre-Chorus]<br/>
This is so embarrassing<br/>
Ah, we're pissing fits<br/>
Crying on our doorsteps in t-shirts loose and ripped<br/>
Some of them so out of style I cannot save them<br/>
They'll just get whatever my salvation gave them<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck<br/>
<br/>
[Guitar solo]<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck</p>
<!--/sse-->
</div>"
The National,Live,Dont Swallow The Cap,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Gold light breaks behind the houses<br/>
I don't see what's strange about this<br/>
Tiny bubbles hang above me<br/>
It's a sign that someone loves me<br/>
I can hardly stand upright<br/>
Hit my head up on the light<br/>
I have faith but don't believe it<br/>
It's not there enough to leave it<br/>
<br/>
[Pre-Chorus]<br/>
Everything I love is on the table<br/>
Everything I love is out to sea<br/>
<br/>
[Verse 2]<br/>
I have only two emotions<br/>
Careful fear and dead devotion<br/>
I can't get the balance right<br/>
With all my marbles in the fight<br/>
I see all the ones I wept for<br/>
All the things I had it in for<br/>
I won't cry until I hear<br/>
Cause I was not supposed to be here<br/>
<br/>
[Pre-Chorus]<br/>
Everything I love is on the table<br/>
Everything I love is out to sea<br/>
<br/>
[Chorus]<br/>
I'm not alone<br/>
I'll never be<br/>
And to the bone<br/>
I'm evergreen<br/>
<br/>
[Verse 3]<br/>
I'm tired, I'm freezing, I'm dumb<br/>
When it gets so late I forget everyone<br/>
I need somewhere to stay<br/>
Don't think anybody I know is awake<br/>
Calm down, it's alright<br/>
Keep my arms the rest of the night<br/>
When they ask what do I see<br/>
I say ""a bright white beautiful heaven hanging over me""<br/>
<br/>
[Chorus]<br/>
I'm not alone<br/>
I'll never be<br/>
And to the bone<br/>
I'm evergreen<br/>
And if you want (dead seriously)<br/>
To see me cry (don't swallow the cap)<br/>
Play ""Let It Be"" (pat yourself on the back)<br/>
Or ""Nevermind"" (dead seriously)<br/>
<br/>
[Verse 4]<br/>
Is it time to leave? Is it time to think about…<br/>
What I wanna say to the girls at the door<br/>
I need somewhere to be<br/>
But I can't get around the river in front of me<br/>
Calm down, it's alright<br/>
Lead my arms the rest of the night<br/>
When they ask what do I see<br/>
I say ""a bright white beautiful heaven hanging over me""<br/>
<br/>
[Chorus]<br/>
I'm not alone (dead seriously)<br/>
I'll never be (don't swallow the cap)<br/>
And to the bone (pat yourself on the back)<br/>
I'm evergreen (dead seriously)<br/>
And if you want (dead seriously)<br/>
To see me cry (don't swallow the cap)<br/>
Play ""Let It Be"" (pat yourself on the back)<br/>
Or ""Nevermind"" (dead seriously)</p>
<!--/sse-->
</div>"
The National,Live,Slipped,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
I'm in the city you hated, my eyes are falling<br/>
Counting the clicks with the living dead, my eyes are red<br/>
I'm in the crush and I hate it, my eyes are falling<br/>
I'm having trouble inside my skin, I tried to keep my skeletons in<br/>
Is it weird to be back in the South? And can they even tell<br/>
That the city girl was ever there, or anywhere?<br/>
I'm having trouble inside my skin, I tried to keep my skeletons in<br/>
I'll be a friend and a fuck-up and everything<br/>
But I'll never be anything you ever want me to be<br/>
<br/>
[Chorus]<br/>
I keep coming back here, where everything slipped<br/>
But I will not spill my guts out<br/>
I keep coming back here, where everything slipped<br/>
But I will not spill my guts out<br/>
<br/>
[Verse 2]<br/>
I don't need any help to be breakable, believe me<br/>
I know nobody else who can laugh along to any kind of joke<br/>
I won't need any help to be lonely when you leave me<br/>
It'll be easy to cover, gather my skeletons far inside<br/>
It'll be summer in Dallas before I realize<br/>
<br/>
[Verse 3]<br/>
I don't want you to grieve, but I want you to sympathize, alright<br/>
I can't blame you for losing, your mind for a little while, so did I<br/>
I don't want you to change, but I want you to recognize that I<br/>
It'll be easy to cover, gather your skeletons far inside<br/>
It'll be summer in Dallas before you realize<br/>
That I'll never be anything you ever want me to be<br/>
<br/>
[Chorus]<br/>
I keep coming back here where everything slipped<br/>
But I will not spill my guts out<br/>
I keep coming back here where everything slipped<br/>
But I will not spill my guts out</p>
<!--/sse-->
</div>"
The National,Live,Terrible Love,0,"<div class=""lyrics"">
<!--sse-->
<p>It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
This quiet company<br/>
This quiet company<br/>
It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
This quiet company<br/>
This quiet company<br/>
This quiet company<br/>
<br/>
And I can't fall asleep<br/>
Without a little help<br/>
It takes a while to settle down<br/>
My shivered bones<br/>
Until the panic's out<br/>
<br/>
It takes an ocean not to break<br/>
It takes an ocean not to break<br/>
It takes an ocean not to break<br/>
It takes an ocean not to break<br/>
Company<br/>
This quiet company<br/>
This quiet company<br/>
<br/>
But I won't follow you<br/>
Into the rabbit hole<br/>
I said I would but then I saw<br/>
Your shivered bones<br/>
They didn't want me to<br/>
<br/>
It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
It's a terrible love and I'm walking with spiders<br/>
It's a terrible love and I'm walking in<br/>
It takes an ocean not to break<br/>
It takes an ocean not to break<br/>
It takes an ocean not to break</p>
<!--/sse-->
</div>"
The National,Songs Without Words,San Mateo,0,"<div class=""lyrics"">
<!--sse-->
<p>[Instrumental]</p>
<!--/sse-->
</div>"
The National,Songs Without Words,Cooper,0,"<div class=""lyrics"">
<!--sse-->
<p>[Instrumental]</p>
<!--/sse-->
</div>"
The National,Songs Without Words,Orourke,0,"<div class=""lyrics"">
<!--sse-->
<p>[Instrumental]</p>
<!--/sse-->
</div>"
