Artist,Album,Song,Year,Lyrics
The National,Boxer,Brainy,0,"<div class=""lyrics"">
<!--sse-->
<p>I've been dragging around from the end of your coat for two weeks<br/>
Everywhere you go is swirling, everything you say has water under it<br/>
You know I keep your fingerprints in a pink folder in the middle of my table<br/>
You're the tall kingdom I surround, think I better follow you around<br/>
<br/>
You might need me more than you think you will<br/>
Come home in the car you love, brainy, brainy, brainy<br/>
<br/>
I've been dragging around from the end of your coat for two weeks<br/>
You keep changing your fancy, fancy mind every time I decide to let it go<br/>
I was up all night again, boning up and reading the American dictionary<br/>
You'll never believe me what I found, think I better follow you around<br/>
<br/>
You might need me more than you think you will<br/>
Come home in the car you love, brainy, brainy, brainy<br/>
You might need me more than you think you will<br/>
Come home in the car you love, brainy, brainy, brainy</p>
<!--/sse-->
</div>"
The National,Boxer,Squalor Victoria,0,"<div class=""lyrics"">
<!--sse-->
<p>Underline everything, I'm a professional<br/>
In my beloved white shirt<br/>
Underline everything, I'm a professional<br/>
In my beloved white shirt<br/>
<br/>
I'm going down among the saints<br/>
<br/>
Raise our heavenly glasses to the heavens<br/>
Squalor Victoria, Squalor Victoria!<br/>
Raise our heavenly glasses to the heavens<br/>
Squalor Victoria, Squalor Victoria!<br/>
<br/>
Out of my league, I have birds in my sleeves<br/>
And I wanna rush in with the fools<br/>
Out of my league, I have birds in my sleeves<br/>
And I wanna rush in with the fools<br/>
<br/>
Raise our heavenly glasses to the heavens<br/>
Squalor Victoria, Squalor Victoria!<br/>
Raise our heavenly glasses to the heavens<br/>
Squalor Victoria, Squalor Victoria!<br/>
<br/>
I'm going down among the saints<br/>
<br/>
3:30 in the last night for you to save this<br/>
You're zoning out, zoning out, zoning out, zoning out<br/>
3:30 in the last night for you to save this<br/>
You're zoning out, zoning out, zoning out, zoning out<br/>
<br/>
This isn't working, you, my middlebrow fuck-up</p>
<!--/sse-->
</div>"
The National,Boxer,Green Gloves,0,"<div class=""lyrics"">
<!--sse-->
<p>Falling out of touch with all my<br/>
Friends are somewhere getting wasted<br/>
Hope they're staying glued together<br/>
I have arms for them<br/>
<br/>
Take another sip of them<br/>
It floats around and takes me over<br/>
Like a little drop of ink<br/>
In a glass of water<br/>
<br/>
Get inside their clothes with my green gloves<br/>
Watch their videos in their chairs<br/>
Get inside their beds with my green gloves<br/>
Get inside their heads, love their loves<br/>
<br/>
Cinderella through the room<br/>
I glide and swan<br/>
Cause I'm the best slow dancer<br/>
In the universe<br/>
<br/>
Falling out of touch with all my<br/>
Friends are somewhere getting wasted<br/>
Hope they're staying glued together<br/>
I have arms for them<br/>
<br/>
Get inside their clothes with my green gloves<br/>
Watch their videos in their chairs<br/>
Get inside their beds with my green gloves<br/>
Get inside their heads, love their loves<br/>
<br/>
Now I hardly know them<br/>
And I'll take my time<br/>
I'll carry them over<br/>
And I'll make them mine<br/>
<br/>
Get inside their clothes with my green gloves<br/>
Watch their videos in their chairs<br/>
Get inside their beds with my green gloves<br/>
Get inside their heads, love their loves</p>
<!--/sse-->
</div>"
The National,Boxer,Slow Show,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Standing at the punch table, swallowing punch<br/>
Can't pay attention to the sound of anyone<br/>
A little more stupid, a little more scared<br/>
Every minute, more unprepared<br/>
<br/>
I made a mistake in my life today<br/>
Everything I love gets lost in the drawers<br/>
I want to start over, I want to be winning<br/>
Way out of sync from the beginning<br/>
<br/>
[Hook]<br/>
I wanna hurry home to you<br/>
Put on a slow, dumb show for you<br/>
And crack you up<br/>
So you can put a blue ribbon on my brain<br/>
God, I'm very, very frightening<br/>
I'll overdo it<br/>
<br/>
[Verse 2]<br/>
Looking for somewhere to stand and stay<br/>
I leaned on the wall and the wall leaned away<br/>
Can I get a minute of not being nervous<br/>
And not thinking of my dick?<br/>
<br/>
My leg is sparkles, my leg is pins<br/>
I better get my shit together, better gather my shit in<br/>
You could drive a car through my head in five minutes<br/>
From one side of it to the other<br/>
<br/>
[Hook]<br/>
I wanna hurry home to you<br/>
Put on a slow, dumb show for you<br/>
And crack you up<br/>
So you can put a blue ribbon on my brain<br/>
God, I'm very, very frightening<br/>
I'll overdo it<br/>
<br/>
[Outro]<br/>
You know I dreamed about you<br/>
For twenty-nine years before I saw you<br/>
You know I dreamed about you<br/>
I missed you for, for twenty-nine years<br/>
<br/>
You know I dreamed about you<br/>
For twenty-nine years before I saw you<br/>
You know I dreamed about you<br/>
I missed you for, for twenty-nine years</p>
<!--/sse-->
</div>"
The National,Boxer,Apartment Story,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Be still for a second while I try and try to pin your flowers on<br/>
Can you carry my drink I have everything else<br/>
I can tie my tie all by myself<br/>
I'm getting tied, I'm forgetting why<br/>
<br/>
[Pre-Chorus]<br/>
Oh we're so disarming darling, everything we did believe<br/>
Is diving diving diving diving off the balcony<br/>
<br/>
[Chorus]<br/>
Tired and wired we ruin too easy<br/>
Sleep in our clothes and wait for winter to leave<br/>
<br/>
[Verse 2]<br/>
Hold ourselves together with our arms around the stereo for hours<br/>
While it sings to itself or whatever it does<br/>
When it sings to itself of its long lost loves<br/>
I'm getting tied, I'm forgetting why<br/>
<br/>
[Chorus]<br/>
Tired and wired we ruin too easy<br/>
Sleep in our clothes and wait for winter to leave<br/>
But I'll be with you behind the couch when they come<br/>
On a different day just like this one<br/>
<br/>
[Bridge]<br/>
We'll stay inside til somebody finds us<br/>
Do whatever the TV tells us<br/>
Stay inside our rosy-minded fuzz for days<br/>
We'll stay inside til somebody finds us<br/>
Do whatever the TV tells us<br/>
Stay inside our rosy-minded fuzz<br/>
<br/>
So worry not<br/>
All things are well<br/>
We'll be alright<br/>
We have our looks and perfume<br/>
<br/>
Stay inside til somebody finds us<br/>
Do whatever the TV tells us<br/>
Stay inside our rosy-minded fuzz<br/>
<br/>
So worry not<br/>
All things are well<br/>
We'll be alright<br/>
We have our looks and perfume on</p>
<!--/sse-->
</div>"
The National,Boxer,Start A War,0,"<div class=""lyrics"">
<!--sse-->
<p>We expected something, something better than before<br/>
We expected something more<br/>
<br/>
Do you really think you can just put it in a safe<br/>
Behind a painting, lock it up and leave?<br/>
Do you really think you can just put it in a safe<br/>
Behind a painting, lock it up and leave?<br/>
Walk away now and you're gonna start a war<br/>
<br/>
Whatever went away, I'll get it over now<br/>
I'll get money, I'll get funny again<br/>
Whatever went away, I'll get it over now<br/>
I'll get money, I'll get funny again<br/>
Walk away now and you're gonna start a war<br/>
<br/>
We expected something, something better than before<br/>
We expected something more<br/>
<br/>
You were always weird but I never had to hold you<br/>
By the edges, like I do now<br/>
We were always weird but I never had to hold you<br/>
By the edges, like I do now<br/>
Walk away now and you're gonna start a war<br/>
<br/>
Whatever went away, I'll get it over now<br/>
I'll get money, I'll get funny again<br/>
Whatever went away, I'll get it over now<br/>
I'll get money, I'll get funny again<br/>
Walk away now and you're gonna start a war<br/>
Walk away now and you're gonna start a war</p>
<!--/sse-->
</div>"
The National,Boxer,Guest Room,0,"<div class=""lyrics"">
<!--sse-->
<p>They're gonna send us to prison for jerks<br/>
For having vague ideas of the way to turn each other on again<br/>
They're gonna send us to prison for jerks<br/>
<br/>
They'll find us here<br/>
Here, here in the guest room<br/>
Where we throw money at each other and cry<br/>
Oh, my<br/>
<br/>
We miss being ruffians, going wild and bright<br/>
In the corners of front yards, getting in and out of cars<br/>
We miss being deviants<br/>
<br/>
They'll find us here<br/>
Here, here in the guest room<br/>
Where we throw money at each other and cry<br/>
Oh, my<br/>
<br/>
We can't stay here<br/>
We're starting to stay the same<br/>
We can't stay here<br/>
We can't stay this way<br/>
<br/>
Just tie your woman to your wrist<br/>
Give her the room to tie the other<br/>
<br/>
They'll find us here<br/>
Here, here in the guest room<br/>
Where we throw money at each other and cry<br/>
Oh, my</p>
<!--/sse-->
</div>"
The National,Boxer,Racing Like A Pro,0,"<div class=""lyrics"">
<!--sse-->
<p>You're pink, you're young, you're middle class<br/>
They say it doesn't matter<br/>
Fifteen blue shirts and womanly hands<br/>
You're shooting up the ladder<br/>
<br/>
Your mind is racing like a pro now<br/>
Oh my god, it doesn't mean a lot to you<br/>
One time you were a glowing young ruffian<br/>
Oh my god, it was a million years ago<br/>
<br/>
Sometimes you get up and bake a cake or something<br/>
Sometimes you stay in bed<br/>
Sometimes you go la di da di da di da da<br/>
Until your eyes roll back into your head<br/>
<br/>
Your mind is racing like a pro now<br/>
Oh my god, it doesn't mean a lot to you<br/>
One time you were a glowing young ruffian<br/>
Oh my god, it was a million years ago<br/>
<br/>
You're dumbstruck baby<br/>
You're dumbstruck baby, now you know<br/>
You're dumbstruck baby<br/>
You're dumbstruck baby, now you know<br/>
<br/>
Your mind is racing like a pro now<br/>
Oh my god, it doesn't mean a lot to you<br/>
One time you were a glowing young ruffian<br/>
Oh my god, it was a million years ago<br/>
<br/>
You're dumbstruck baby<br/>
You're dumbstruck baby, now you know<br/>
You're dumbstruck baby<br/>
You're dumbstruck baby, now you know<br/>
<br/>
You're dumbstruck baby</p>
<!--/sse-->
</div>"
The National,Boxer,Ada,0,"<div class=""lyrics"">
<!--sse-->
<p>Ada, don't talk about reasons why you don't want to talk<br/>
About reasons why you don't wanna talk<br/>
Now that you got everybody you consider sharp<br/>
All alone, all together, all together in the dark<br/>
<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
<br/>
Ada, put the sounds of your house in a song<br/>
Try to be speechless for a minute<br/>
If you think you're gonna faint, go out in the hallway<br/>
Let them all have your neck<br/>
<br/>
Ada, don't stay in the lake too long<br/>
It lives alone and it barely knows you<br/>
It'll have a nervous breakdown and fall<br/>
Into a thousand pieces around you<br/>
<br/>
Stand inside an empty tuxedo with grapes in my mouth<br/>
Waiting for Ada<br/>
Ada, hold onto yourself by the sleeves<br/>
I think everything counts a little more than we think<br/>
<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
<br/>
Ada, Ada, Ada, Ada<br/>
Ada, I can hear the sound of your laugh through the wall<br/>
<br/>
Ada, don't talk about reasons why you don't want to talk<br/>
About reasons why you don't wanna talk<br/>
Now that you got everybody you consider sharp<br/>
All alone, all together, all together in the dark<br/>
<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
Leave it all up in the air<br/>
<br/>
Ada, Ada, Ada, Ada<br/>
Ada I can hear the sound of your laugh through the wall<br/>
Ada, Ada, Ada, Ada<br/>
Ada, I've been hoping you know your way 'round</p>
<!--/sse-->
</div>"
The National,Boxer,Gospel,0,"<div class=""lyrics"">
<!--sse-->
<p>1 2 3 4<br/>
I've got two armfuls of magazines for you<br/>
I'll bring them over<br/>
So hang your holiday rainbow lights in the garden<br/>
Hang your holiday rainbow lights in the garden<br/>
And I'll, I'll bring a nice icy drink to you<br/>
<br/>
Let me come over, I can waste your time, I'm bored<br/>
Invite me to the war every night of the summer<br/>
And we'll play G.I. blood, G.I. blood<br/>
We'll stand by the pool, we'll throw out our golden arms<br/>
<br/>
Darling, can you tie my string?<br/>
Killers are calling on me<br/>
<br/>
My angel face is falling<br/>
Feathers are falling on my feet<br/>
Darling, can you tie my string?<br/>
Killers are calling on me<br/>
<br/>
Stay near your, stay near your television, set it up outside<br/>
And hang your holiday rainbow lights in the garden<br/>
Hang your holiday rainbow lights in the garden<br/>
And I'll, I'll bring a nice icy drink to you<br/>
<br/>
Let me come over, I can waste your time, I'm bored<br/>
Invite me to the war every night of the summer<br/>
And we'll play G.I. blood, G.I. blood<br/>
We'll stand by the pool, we'll throw out our golden arms<br/>
<br/>
Darling, can you tie my string?<br/>
Killers are calling on me<br/>
<br/>
My angel face is falling<br/>
Feathers are falling on my feet<br/>
My angel face is falling<br/>
Feathers are falling on my feet<br/>
<br/>
Darling, can you tie my string?<br/>
Killers are calling on me<br/>
Darling, can you tie my string?<br/>
Killers are calling on me</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Cardinal Song,0,"<div class=""lyrics"">
<!--sse-->
<p>Never look her in the eyes<br/>
Never tell the truth<br/>
If she knows you're paper<br/>
You know she'll have to burn you<br/>
<br/>
Never tell the one you want that you do<br/>
Save it for the deathbed<br/>
When you know you kept her wanting you<br/>
<br/>
And do everything she'd never do<br/>
<br/>
Fall asleep with stranger's wives<br/>
The wild wives of unknown men<br/>
Good for you, you've just become<br/>
Just another one of them<br/>
<br/>
Never say you miss her<br/>
Never say a word<br/>
<br/>
And do everything she'd never do<br/>
Don't let her see your cardinal eyes<br/>
<br/>
Let her treat you like a criminal<br/>
So you can treat her like a priest<br/>
Girls forgive my human mind<br/>
Girls forgive me one more time<br/>
<br/>
Never tell the one you love that you do<br/>
Save it for the deathbed<br/>
<br/>
And do everything she'd never do<br/>
Don't let her see your cardinal eyes<br/>
Don't let her see your cardinal eyes<br/>
<br/>
Jesus Christ you have confused me<br/>
Cornered, wasted, blessed and used me<br/>
Forgive me girls I am confused<br/>
Stiff and pissed and lost and loose<br/>
<br/>
Jesus Christ you have confused me<br/>
Cornered, wasted, blessed and used me<br/>
Forgive me girls I am confused<br/>
Stiff and pissed and lost and loose</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Slipping Husband,0,"<div class=""lyrics"">
<!--sse-->
<p>Sit down, dear, we gotta talk, you're acting like a kid<br/>
We don't wanna hear about the things you never did<br/>
You could have been a legend, but you became a father<br/>
That's what you are today, that's what you are today<br/>
<br/>
Spending all your time, somewhere inside your head<br/>
Haunted by the important life you could have lead<br/>
But your kisses aren't enough to keep your kids in line<br/>
So you better straighten out yourself and give your baby time<br/>
Cause if you don't give her what she needs<br/>
She'll get it where she can, cause she's lonely, man<br/>
<br/>
Don't, don't leave yourself alone, for too many days<br/>
Cause sooner than you know you're gonna start, slipping<br/>
<br/>
You'll end up talking to the ghost of your wife as if you knew her<br/>
Your eyes will put her everywhere<br/>
And spending all your time somewhere inside your head<br/>
Haunted by the important life you could've lead<br/>
You'll fuck yourself to clear your head<br/>
You'll close your door and go to bed<br/>
You'll try to sleep without a dream<br/>
Cause that's where she finds you<br/>
Yeah that's where she finds you<br/>
<br/>
Don't leave yourself alone, for too many days<br/>
Sooner than you know you're gonna start, slipping<br/>
<br/>
(Yeah yeah yeah yeah, yeah yeah yeah, yeah yeah, yeah yeah, yeah yeah yeah yeah yeah)<br/>
<br/>
Dear we better get a drink in you before you start to bore us<br/>
Dear we better get a drink in you before you start to bore us<br/>
Dear we better get a drink in you before you start to bore us<br/>
<br/>
Dear we better get a drink in you before you start to bore us<br/>
<br/>
(Don't forget the alcohol, oooh baby, oooh baby, oooh baby, oooh baby, oooh baby)</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,90 Mile Water Wall,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Well, I know that you know<br/>
That you've become the target of this hand<br/>
With never even asking<br/>
Well, I know that you know<br/>
That you're the only thing that I can stand<br/>
So how could your hair<br/>
Have the nerve to dance around like that, blowing?<br/>
And how could the air<br/>
Have the nerve to blow your hair around like that?<br/>
<br/>
[Chorus 1]<br/>
I'm waiting for a 90-mile water wall<br/>
To take me out of your view<br/>
I'm looking for a trapdoor trigger<br/>
To drop me out of your view<br/>
<br/>
[Verse 2]<br/>
Yes, I'm listening, I'm listening<br/>
I can tell that you are serious<br/>
You're looking for that hurt look around my mouth<br/>
The look of a steep fall, yeah, that's how Hersey put it<br/>
So you can make another claim<br/>
Well, go ahead and make it<br/>
So you can make another claim<br/>
Well, go ahead and make it<br/>
<br/>
[Chorus 2]<br/>
I'm just waiting for a 90-mile water wall<br/>
To take me out of your view<br/>
I'm praying for a trapdoor trigger<br/>
<br/>
[Instrumental bridge]<br/>
<br/>
[Chorus 2]<br/>
<br/>
[Outro]<br/>
Yes, I'm listening<br/>
I can tell you're serious</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,It Never Happened,0,"<div class=""lyrics"">
<!--sse-->
<p>We look younger than we feel<br/>
And older than we are<br/>
Now nobody's funny<br/>
No god, they took our fashion week<br/>
That's a real bad thing<br/>
'Cause we have scars to cover<br/>
<br/>
Now I forget how to think<br/>
So crack my skull<br/>
Rearrange me<br/>
<br/>
Lover put me in your beautiful bed<br/>
And cover me<br/>
Lover put me in your beautiful bed<br/>
<br/>
Nothing made a sound in Williamstown that night<br/>
And all the air was empty<br/>
Then what to my wondering eyes should appear<br/>
Nothing, 'cause nothing ever happens here<br/>
<br/>
Now I forget how to think<br/>
So crack my skull<br/>
Rearrange me<br/>
<br/>
Lover put me in your beautiful bed<br/>
And cover me<br/>
Lover put me in your beautiful bed<br/>
<br/>
Nothing ever happened here<br/>
Nothing ever happened here<br/>
Bad things never happen to the beautiful<br/>
Nothing ever happened here</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Murder Me Rachael,0,"<div class=""lyrics"">
<!--sse-->
<p>[Intro]<br/>
I saw my love with pretty boy<br/>
I saw my love with pretty boy<br/>
<br/>
[Verse 1]<br/>
Murder me Rachael; I made a mistake<br/>
I loved her to ribbons<br/>
Loved her to ribbons<br/>
Murder me Rachael; I made a mistake<br/>
Murder me Rachael<br/>
Murder me Rachael<br/>
<br/>
[Refrain]<br/>
I saw my love with pretty boy<br/>
I saw my love with pretty boy<br/>
So say goodbye to pretty boy<br/>
Just say goodbye to pretty boy<br/>
<br/>
[Verse 2]<br/>
Her pretty little ribbons<br/>
Her pretty little name<br/>
Sew it in my skin<br/>
Never go away<br/>
Her pretty little ribbons<br/>
Her pretty little name<br/>
I sew it in my skin<br/>
She'll never go away<br/>
<br/>
[Refrain]<br/>
I saw my love with pretty boy<br/>
I saw my love with pretty boy<br/>
So say goodbye to pretty boy<br/>
Just say goodbye to pretty boy<br/>
Tomorrow won't be pretty<br/>
Tomorrow won't be pretty<br/>
<br/>
[Outro]<br/>
Love her to ribbons<br/>
Love her to ribbons<br/>
Love her to ribbons<br/>
Love her to ribbons<br/>
Love her, love her to ribbons<br/>
Love her to ribbons<br/>
Love her to ribbons<br/>
Love her to ribbons</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Thirsty,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
As far as I can tell<br/>
I'm nothing like a princess<br/>
But today I find myself<br/>
Curling up behind the house<br/>
<br/>
There's nothing in the air today<br/>
Now I know I'm not so important<br/>
<br/>
[Bridge]<br/>
Take these girly arms<br/>
And ever keep me<br/>
Take these girly arms<br/>
And ever keep me<br/>
<br/>
[Chorus]<br/>
I don't have a hawk in my heart<br/>
No dumbass dove in my brain<br/>
I don't have a hawk in my heart<br/>
No dumbass dove in my dumbass brain<br/>
<br/>
[Bridge]<br/>
Take these girly arms<br/>
And ever keep me<br/>
Take these girly arms<br/>
And ever keep me<br/>
<br/>
[Outro]<br/>
I don't have a hawk in my heart<br/>
No I don't have a hawk in my heart<br/>
No I don't have a hawk in, I don't have a hawk in, I don't have a hawk in my heart<br/>
No I don't have a hawk in my heart<br/>
I don't have a hawk in my heart<br/>
No I don't have a hawk in, I don't have a hawk in, I don't have a hawk in my heart<br/>
I don't have a hawk in my heart<br/>
In my heart, In my heart (I don't have a hawk in my heart)<br/>
No I don't have a hawk in my heart</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Available,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Did you clean yourself<br/>
For me last night?<br/>
Put the water out and donned a marigold<br/>
In your hair to bring me here<br/>
And tie one on you<br/>
<br/>
[Verse 2]<br/>
Did you dress me down and liquor me up<br/>
To make me last for the minute<br/>
When the red comes over you?<br/>
Like it does when you're filled with love<br/>
Or whatever you call it<br/>
<br/>
[Verse 3]<br/>
Do you feel alone when I'm in my head<br/>
While you wait for me<br/>
To take my breath?<br/>
Do you still feel clean<br/>
When the only dirt is the dirt I left?<br/>
How can you blame yourself<br/>
When I did everything I wanted to?<br/>
<br/>
[Bridge]<br/>
You just made yourself available<br/>
You just made yourself available<br/>
<br/>
[Outro]<br/>
Why did you dress me down?<br/>
Why did you dress me down?<br/>
Why did you dress me down?<br/>
Why did you dress me down?<br/>
Why did you dress me down?<br/>
Dress me down?<br/>
Why did you dress me down?<br/>
Dress me down?<br/>
Why did you dress me down?<br/>
Dress me down?<br/>
Dressed down and liquor me up?<br/>
And liquor me up?<br/>
And liquor me up?<br/>
And liquor me up?</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Sugar Wife,0,"<div class=""lyrics"">
<!--sse-->
<p>Sugar wife, sugar wife<br/>
Sugar wife, can you make me a man<br/>
Baby doll, can you make me a dad<br/>
<br/>
I'm no butterfly, I'm no butterfly<br/>
I'm no butterfly, I'm no butterfly<br/>
<br/>
If you tried to make a miracle<br/>
You never shoulda tried<br/>
If you tried to make a miracle<br/>
<br/>
Sugar wife, baby doll<br/>
<br/>
Can you make me a man<br/>
Can you make me a dad<br/>
Can you make me a man, can you make me a dad<br/>
<br/>
Sugar wife</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Trophy Wife,0,"<div class=""lyrics"">
<!--sse-->
<p>No, nobody wants to be<br/>
No, no one's lover<br/>
No matter what they say<br/>
<br/>
Lovers know they are the ones<br/>
Who one day have to go<br/>
<br/>
Trophy wives, I know they wander<br/>
And find a young, young man<br/>
Trophy wives, I know they wander<br/>
<br/>
One time you were a good rabbit<br/>
To all the girls<br/>
And all their lovely mothers<br/>
<br/>
You tried a piece of everything<br/>
Now nothing turns you on<br/>
<br/>
Trophy wives, I know they wander<br/>
And find a young young man<br/>
Trophy wives, I know they wander<br/>
<br/>
Run, run, baby, I don't feel alive<br/>
But I'm pretty and I'm pretty sure<br/>
I'm gonna be alright to drive<br/>
To New Jack City for a younger man<br/>
With a better brain<br/>
<br/>
I, I fell in love with you<br/>
No matter what you say<br/>
But you were right about the reasons<br/>
<br/>
I don't want to be<br/>
What I'm becoming<br/>
<br/>
Your trophy wife, I know they wander<br/>
And find a young, young man<br/>
Your trophy wife<br/>
I know they wander<br/>
And find a young man<br/>
<br/>
Your trophy wife<br/>
I know they wander</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Fashion Coat,0,"<div class=""lyrics"">
<!--sse-->
<p>In a fashion coat I, I float down my city<br/>
Don't you think I look pretty anymore<br/>
I'll do everything to you, but I can hardly come<br/>
'Cause I'm so afraid of you, falling<br/>
<br/>
I die fast in this city<br/>
Outside I die slow<br/>
<br/>
I'm not stupid, I swear<br/>
I read the foreign news to understand my nation<br/>
You get two options in the You Estates<br/>
Black city bloodbath or white country rape<br/>
<br/>
I die fast in this city<br/>
Outside I die slow<br/>
I die fast in this city<br/>
Outside I die slow<br/>
<br/>
Everywhere I am is<br/>
Just another thing<br/>
Without you in it<br/>
Oh, everywhere I am is<br/>
Just another thing<br/>
Without you in it<br/>
Yeah, everywhere I am is<br/>
Just another thing<br/>
Without you in it<br/>
Yeah, everywhere I am is<br/>
Just another thing<br/>
Without you in it</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Patterns Of Fairytales,0,"<div class=""lyrics"">
<!--sse-->
<p>Tonight there isn't any light under your door<br/>
I guess you must be somewhere breathing<br/>
Where skin and everything still know what they are for<br/>
And blood remembers where to go<br/>
<br/>
I fell in love with you, no matter what you say<br/>
But you were right about the reasons<br/>
To turn a magdeline into the month of May<br/>
I shoulda known the magdeline was me<br/>
<br/>
So I'm turning on the stereo<br/>
And I'm lining up the names<br/>
On the mixes I made before you<br/>
And I'm turning into fairytales<br/>
With glitter and some glue<br/>
Everything we ever planned<br/>
To ever do<br/>
<br/>
Tonight there isn't any light under your door<br/>
I guess you must be somewhere breathing<br/>
In patterns unfamiliar to the one you're underneath<br/>
I pinned those patterns in my coat<br/>
<br/>
So I'm turning on the stereo<br/>
And I'm turning into fairytales<br/>
Yes, I'm turning on the stereo<br/>
And I'm turning into you<br/>
<br/>
I fell in love with you</p>
<!--/sse-->
</div>"
The National,Sad Songs For Dirty Lovers,Lucky You,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Every time you get a drink<br/>
And every time you go to sleep<br/>
Are those dreams inside your head?<br/>
Is that sunlight on your bed?<br/>
<br/>
[Verse 2]<br/>
Every time you're driving home<br/>
Way outside your safety zone<br/>
Wherever you will ever be<br/>
You're never getting rid of me<br/>
<br/>
[Chorus]<br/>
You own me<br/>
There's nothing you can do<br/>
You own me<br/>
<br/>
[Verse 3]<br/>
You could've made a safer bet<br/>
But what you break is what you get<br/>
You wake up in the bed you make<br/>
I think you made a big mistake<br/>
<br/>
[Chorus]<br/>
You own me<br/>
There's nothing you can do<br/>
You own me<br/>
You own me<br/>
Lucky you<br/>
You own me<br/>
There's nothing you can do<br/>
<br/>
[Bridge]<br/>
You clean yourself to meet<br/>
A man who isn't me<br/>
You're putting on a shirt<br/>
A shirt I'll never see<br/>
With letters in your coat<br/>
And no one's in your head<br/>
'Cause you're too smart to remember<br/>
You're too smart<br/>
<br/>
Lucky you<br/>
Lucky you<br/>
Lucky you</p>
<!--/sse-->
</div>"
The National,Trouble Will Find Me,I Should Live In Salt,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Don't make me read your mind<br/>
You should know me better than that<br/>
It takes me too much time<br/>
You should know me better than that<br/>
You're not that much like me<br/>
You should know me better than that<br/>
We have different enemies<br/>
But you should know me better than that<br/>
<br/>
[Pre-Chorus]<br/>
I should leave it alone, but you're not right<br/>
I should leave it alone, but you're not right<br/>
<br/>
[Verse 2]<br/>
Can't you write it on the wall?<br/>
You should know me better than that<br/>
There's no room to write it all<br/>
You should know me better than that<br/>
Can you turn the TV down?<br/>
You should know me better than that<br/>
There's too much crying in the sound<br/>
I should know you better than that<br/>
<br/>
[Pre-Chorus]<br/>
I should leave it alone, but you're not around<br/>
I should leave it alone, but you're not around<br/>
<br/>
[Chorus]<br/>
I should live in salt for leaving you behind, behind<br/>
<br/>
[Verse 3]<br/>
You think about something so much<br/>
You should know me better than that<br/>
Start this slide out of touch<br/>
You should know me better than that<br/>
Tell yourself it's only noise<br/>
You should know me better than that<br/>
Learn to appreciate the void<br/>
You should know me better than that<br/>
<br/>
[Chorus]<br/>
I should live in salt for leaving you behind, behind<br/>
I should live in salt for leaving you behind, behind<br/>
I should live in salt for leaving you behind, behind</p>
<!--/sse-->
</div>"
